file,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment
tools/jprof/leaky.h,122,1,6,0,0.07
tools/jprof/stub/config.h,18,0,0,0,0.00
tools/jprof/stub/libmalloc.h,74,0,0,0,1.41
tools/jprof/strset.h,19,1,1,0,0.50
tools/jprof/intcnt.h,38,3,1,2,0.11
media/webrtc/trunk/webrtc/modules/audio_coding/neteq4/mock/mock_audio_vector.h,51,2,26,0,0.35
media/webrtc/trunk/webrtc/modules/audio_coding/neteq4/audio_vector.h,105,1,5,0,1.38
testing/gtest/gmock/include/gmock/gmock.h,93,0,0,0,11.17
testing/gtest/gmock/include/gmock/gmock-generated-function-mockers.h,929,1,55,0,0.51
intl/icu/source/common/uinit.c,58,1,2,0,2.58
intl/icu/source/common/unicode/utypes.h,723,1,2,0,2.51
intl/icu/source/common/unicode/icuplug.h,371,0,0,0,5.19
intl/icu/source/common/unicode/uclean.h,249,0,0,0,10.15
intl/icu/source/common/cmemory.h,599,2,37,4,1.16
intl/icu/source/common/icuplugimp.h,87,0,0,0,4.75
intl/icu/source/common/ucln.h,92,0,0,0,3.10
intl/icu/source/common/ucnv_io.h,125,0,0,0,1.17
intl/icu/source/common/utracimp.h,384,0,0,0,4.78
gfx/cairo/libpixman/src/pixman-mips-dspr2.c,411,35,107,6,0.09
gfx/skia/src/utils/cityhash/config.h,17,0,0,0,0.00
gfx/cairo/libpixman/src/pixman-private.h,1187,2,12,2,0.16
gfx/cairo/libpixman/src/pixman-mips-dspr2.h,396,0,0,0,6.67
gfx/cairo/libpixman/src/pixman-compiler.h,235,0,0,0,0.00
gfx/cairo/libpixman/src/pixman-inlines.h,1421,4,5,2,1.30
media/libopus/silk/NSQ.c,446,20,3,3,0.47
media/libjpeg/config.h,7,0,0,0,0.00
media/libopus/silk/main.h,434,0,0,0,1.03
media/libopus/celt/stack_alloc.h,171,1,1,0,33.50
media/libopus/include/opus_types.h,159,0,0,0,9.25
media/libopus/silk/define.h,235,0,0,0,0.00
media/libopus/silk/structs.h,324,0,0,0,0.68
media/libopus/silk/typedef.h,77,0,0,0,0.00
media/libopus/silk/SigProc_FIX.h,591,2,9,1,1.17
media/libopus/silk/macros.h,112,2,2,0,5.25
layout/generic/nsFlexContainerFrame.h,125,1,1,0,0.48
layout/generic/nsContainerFrame.h,716,2,12,1,1.83
layout/generic/nsFrame.h,860,2,4,2,0.76
layout/generic/nsQueryFrame.h,96,2,2,1,0.52
xpcom/base/nscore.h,366,0,0,0,134.00
layout/xul/base/src/nsIRootBox.h,33,0,0,0,0.27
gfx/cairo/libpixman/src/pixman.h,1113,0,0,0,0.24
netwerk/sctp/src/ScopedFd.h,46,1,3,0,1.33
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/isac/fix/source/decode_bwe.c,69,4,1,1,0.74
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/isac/fix/source/bandwidth_estimator.h,127,0,0,0,3.00
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/isac/fix/source/codec.h,203,0,0,0,0.26
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/isac/fix/source/entropy_coding.h,169,0,0,0,0.28
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/isac/fix/source/structs.h,382,0,0,0,0.62
media/webrtc/trunk/webrtc/common_audio/signal_processing/include/signal_processing_library.h,1758,0,0,0,3.56
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/isac/fix/source/settings.h,205,0,0,0,0.00
toolkit/crashreporter/google-breakpad/src/common/linux/safe_readlink.cc,53,2,1,1,3.60
build/stlport/stlport/stddef.h,44,0,0,0,0.00
toolkit/crashreporter/google-breakpad/src/third_party/lss/linux_syscall_support.h,3537,0,0,0,0.00
netwerk/mime/nsMimeTypes.h,213,0,0,0,0.00
dom/wifi/WifiWorker.h,7,0,0,0,0.00
xpcom/glue/nsWeakReference.cpp,130,3,11,2,0.16
xpcom/glue/nsWeakReference.h,64,1,4,0,0.39
xpcom/glue/nsCOMPtr.h,1601,1,97,1,0.37
xpcom/glue/nsISupportsImpl.h,1411,1,28,1,1.52
xpcom/base/nsError.h,249,1,4,0,3.71
xpcom/glue/nsISupportsUtils.h,152,3,2,1,3.10
ipc/chromium/src/base/hmac.h,56,1,1,0,0.76
ipc/chromium/src/base/basictypes.h,255,1,1,0,5.16
ipc/chromium/src/base/scoped_ptr.h,380,1,39,1,0.74
build/stlport/stlport/stl/_cprolog.h,25,0,0,0,0.00
dom/mobilemessage/src/SmsFilter.cpp,308,4,19,3,0.04
dom/mobilemessage/src/SmsFilter.h,41,1,1,0,0.35
js/src/jsapi.h,4486,1,243,1,0.49
js/src/jsfriendapi.h,1713,1,58,1,0.49
dom/base/nsDOMString.h,21,1,2,0,0.62
dom/base/nsIDOMClassInfo.h,185,1,1,0,1.62
dom/base/nsJSUtils.h,155,1,10,1,0.43
dom/base/nsDOMClassInfoID.h,173,0,0,0,3.80
xpcom/glue/nsDebug.h,382,1,1,0,8.25
xpcom/glue/nsStringAPI.h,1427,1,178,1,0.31
build/stlport/stlport/stl/config/features.h,1079,0,0,0,29.40
toolkit/components/satchel/nsFormFillController.cpp,1223,3,77,5,0.08
toolkit/components/satchel/nsFormFillController.h,119,0,0,0,0.21
xpcom/string/public/nsString.h,209,1,16,0,0.28
xpcom/string/public/nsReadableUtils.h,398,1,5,0,1.96
xpcom/glue/nsIInterfaceRequestorUtils.h,51,2,3,1,0.31
dom/base/nsPIDOMWindow.h,804,2,38,3,0.59
content/html/content/public/nsIFormControl.h,291,1,9,0,0.77
content/base/public/nsIDocument.h,2579,1,134,1,0.90
content/base/public/nsIContent.h,955,1,37,3,1.81
layout/base/nsIPresShell.h,1614,1,59,1,1.44
gfx/src/nsRect.h,317,1,29,2,0.20
toolkit/components/build/nsToolkitCompsCID.h,182,0,0,0,0.00
embedding/base/nsEmbedCID.h,58,0,0,0,0.00
content/base/public/nsContentUtils.h,2286,1,24,1,1.59
content/events/src/nsDOMEvent.h,244,1,17,1,0.15
xpcom/glue/nsCRTGlue.h,135,1,2,0,1.35
xpcom/glue/nsID.h,143,1,1,0,3.39
media/webrtc/trunk/webrtc/modules/audio_coding/neteq4/packet_buffer_unittest.cc,560,11,28,5,0.28
media/webrtc/trunk/webrtc/modules/audio_coding/neteq4/packet_buffer.h,139,1,3,0,1.39
media/webrtc/trunk/testing/gtest/include/gtest/gtest.h,2236,1,98,1,1.70
media/webrtc/trunk/webrtc/modules/audio_coding/neteq4/mock/mock_decoder_database.h,64,1,39,0,0.25
media/webrtc/trunk/webrtc/modules/audio_coding/neteq4/packet.h,71,1,7,2,0.67
testing/gtest/gtest/include/gtest/gtest.h,2155,1,88,1,1.76
testing/gtest/gmock/include/gmock/gmock-spec-builders.h,1749,1,102,2,0.78
media/webrtc/trunk/webrtc/modules/audio_coding/neteq4/mock/mock_external_decoder_pcm16b.h,99,1,21,0,0.25
media/webrtc/trunk/webrtc/modules/audio_coding/neteq4/interface/audio_decoder.h,145,1,11,0,0.46
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/pcm16b/include/pcm16b.h,106,0,0,0,4.93
media/webrtc/trunk/webrtc/system_wrappers/interface/constructor_magic.h,50,0,0,0,0.00
media/webrtc/trunk/webrtc/typedefs.h,156,0,0,0,0.00
