node,page_rank,betweenness,closeness,indegree,outdegree
storage/src/mozStorageStatementData,3.213,14.707,3.252,5,10
js/src/jsapi-tests/testTrap,2.761,0.0,3.251,0,8
widget/qt/nsIdleServiceQt,3.074,24.671,3.252,2,11
content/html/content/src/nsRadioVisitor,2.944,0.0,3.252,2,16
gfx/graphite2/src/TtfUtil,5.51,796.693,3.25,5,3
content/base/src/nsSyncLoadService,3.23,1522.157,3.252,6,27
xpcom/tests/static-checker/override-pass,2.761,0.0,0.854,0,0
testing/multiprocess_func_list,2.761,0.0,0.854,0,0
mozilla/_ipdltest/PTestSyncHangParent,2.761,0.0,0.854,0,0
intl/locale/public/nsLocaleCID,4.916,0.0,3.251,16,0
nsICacheSession,2.761,0.0,0.854,0,0
modules/libbz2/src/bzlib,8.862,40932.667,3.251,8,9
gfx/skia/include/effects/SkPixelXorXfermode,2.974,0.0,3.251,1,6
js/src/jsapi-tests/testIsAboutToBeFinalized,2.761,0.0,3.252,0,8
media/libvorbis/lib/vorbis_smallft,2.965,1130.004,3.251,2,6
security/nss/lib/ckfw/nssckmdt,23.043,3741.3,3.252,49,5
content/svg/content/src/nsSVGAElement,2.988,1480.57,3.252,3,36
intl/uconv/ucvja/nsJapaneseToUnicode,3.083,11.727,3.252,2,9
gfx/skia/src/utils/SkLayer,2.988,237.228,3.251,1,14
security/nss/lib/libpkix/pkix/crlsel/pkix_comcrlselparams,8.834,989.334,3.251,11,9
gfx/graphite2/src/inc/List,9.586,11867.648,3.251,5,2
mozglue/linker/dladdr,2.761,0.0,0.854,0,0
xulrunner/tools/redit/redit,2.761,0.0,3.251,0,1
gfx/skia/src/ports/SkGlobals_global,3.244,0.0,3.25,1,2
nsIRDFPropagatableDataSource,2.761,0.0,0.854,0,0
toolkit/crashreporter/google-breakpad/src/third_party/linux/include/glog/vlog_is_on,4.746,4040.0,3.251,2,2
nsprpub/pr/include/prcvar,25.216,259.459,3.252,28,4
widget/qt/faststartupqt/mozqwidgetfast,3.461,320.835,3.252,2,9
nsIFTPChannel,2.761,0.0,0.854,0,0
dbm/src/memmove,2.761,0.0,0.854,0,0
intl/uconv/ucvibm/nsUnicodeToCP864,3.177,0.034,3.252,2,7
gfx/thebes/gfxD2DSurface,3.241,45.92,3.251,3,10
modules/freetype2/src/autofit/afdummy,3.581,639.53,3.251,3,8
Accessible2,2.761,0.0,0.854,0,0
toolkit/crashreporter/google-breakpad/src/google_breakpad/common/minidump_exception_mac,6.056,0.0,3.25,1,1
xpcom/reflect/xptinfo/src/xptiInterfaceInfo,9.913,41060.072,3.252,28,26
usr/include/bits/waitflags,2.761,0.0,0.854,0,0
nsprpub/pr/tests/addrstr,2.761,0.0,3.252,0,3
dos/var,2.761,0.0,0.854,0,0
mozilla/ipc/AsyncChannel,2.761,0.0,0.854,0,0
gfx/cairo/cairo/src/cairo-bentley-ottmann-rectilinear,4.352,3732.245,3.251,6,13
app/gfx/chrome_font,2.761,0.0,0.854,0,0
media/libvorbis/lib/smallft,5.199,4.417,3.251,5,1
GL/glew,2.761,0.0,0.854,0,0
mach/std_types,2.761,0.0,0.854,0,0
extensions/auth/nsAuth,3.459,717.186,3.251,5,2
nsprpub/pr/include/prinet,20.138,0.413,3.251,2,1
libgnomevfs/gnome-vfs-mime-utils,2.761,0.0,0.854,0,0
ipc/chromium/src/base/thread,11.679,47726.296,3.251,23,12
usr/include/asm/bitsperlong,2.761,0.0,0.854,0,0
layout/mathml/nsIMathMLFrame,4.748,3.19,3.252,22,5
extensions/universalchardet/src/base/nsBig5Prober,3.389,128.086,3.252,2,7
gfx/skia/include/views/SkWindow,6.393,32435.47,3.251,12,18
gfx/skia/include/pdf/SkBitSet,3.488,1.167,3.251,3,4
toolkit/crashreporter/google-breakpad/src/common/stabs_reader,5.397,4396.798,3.251,4,4
xpfe/components/autocomplete/src/nsAutoComplete,2.906,0.0,3.252,1,17
gfx/skia/src/gpu/GrGLInterface,4.181,1698.723,3.251,4,8
tools/jprof/leaky,8.527,8355.049,3.252,4,12
dom/base/nsIScriptTimeoutHandler,2.87,0.0,3.251,2,2
modules/freetype2/src/sfnt/ttsbit,3.555,1596.653,3.251,4,13
mozilla/gfx/SharedDIBWin,2.761,0.0,0.854,0,0
media/libvorbis/lib/vorbis_psy,3.077,9057.487,3.251,3,15
gfx/angle/samples/gles2_book/ParticleSystem/ParticleSystem,6.117,1.0,3.251,9,5
gfx/skia/src/views/SkView,10.116,16244.817,3.252,32,23
gfx/angle/src/compiler/Initialize,3.331,0.214,3.25,2,9
layout/mathml/nsMathMLmsubsupFrame,2.949,765.977,3.252,3,29
mozilla/_ipdltest/PTestDataStructuresSubParent,2.761,0.0,0.854,0,0
float,2.761,0.0,0.854,0,0
nsILoginInfo,2.761,0.0,0.854,0,0
usr/include/sys/stat,2.761,0.0,0.854,0,0
parser/xml/src/nsSAXXMLReader,2.946,530.726,3.252,2,30
nsprpub/lib/libc/src/plgetopt,34.589,23052.202,3.252,130,11
dbus/dbus-protocol,2.761,0.0,0.854,0,0
toolkit/crashreporter/google-breakpad/src/client/linux/minidump_writer/line_reader_unittest,2.761,0.0,3.252,0,7
widget/qt/nsFilePicker,3.254,238.679,3.252,6,27
gfx/skia/src/images/SkPageFlipper,3.067,1.333,3.251,2,5
modules/freetype2/src/autofit/autofit,2.761,0.0,3.25,0,10
parser/html/nsHtml5NamedCharacters,3.313,8554.112,3.252,3,9
js/src/jstypes,265.073,2003647.773,3.251,239,3
security/manager/ssl/src/nsPKCS11Slot,2.976,708.401,3.252,3,34
usr/include/gelf,2.761,0.0,0.854,0,0
nsprpub/pr/src/md/windows/ntthread,3.454,379.159,3.252,2,19
gfx/skia/src/utils/mac/SkSampleNSView,2.761,0.0,0.854,0,0
modules/freetype2/src/gxvalid/gxvmorx5,5.576,4.0,3.251,6,5
mozilla/_ipdltest/PTestMultiMgrsRightParent,2.761,0.0,0.854,0,0
modules/freetype2/src/psaux/psaux,2.761,0.0,3.251,0,6
gfx/angle/src/libEGL/Display,7.708,45685.031,3.251,11,13
media/libvpx/vpx_config,143.472,7.167,3.251,18,1
nsprpub/pr/src/threads/prmon,2.761,0.0,3.252,0,10
mozilla/XPCOM,2.761,0.0,0.854,0,0
ipc/chromium/src/chrome/common/pref_service_uitest,2.761,0.0,3.251,0,9
gfx/skia/include/utils/win/SkTScopedComPtr,2.941,1.624,3.251,1,4
media/libvpx/vp8/encoder/asm_enc_offsets,2.761,0.0,3.251,0,11
mozilla/_ipdltest/PTestSanityChild,2.761,0.0,0.854,0,0
gfx/skia/src/core/SkCoreBlitters,3.752,2042.986,3.251,6,14
toolkit/system/windowsproxy/nsWindowsSystemProxySettings,2.761,0.0,3.252,0,18
widget/gtk2/nsDragService,2.984,59907.471,3.252,2,48
media/libpng/pngwrite,4.273,0.0,3.25,1,2
gfx/skia/src/effects/SkBitmapCache,4.811,3051.842,3.252,2,9
modules/freetype2/src/base/ftsystem,2.761,0.0,3.251,0,8
toolkit/system/dbus/nsNetworkManagerListener,3.341,1329.713,3.252,2,15
dom/ipc/ContentChild,6.798,224920.483,3.252,20,41
nsprpub/pr/tests/parent,2.761,0.0,3.252,0,14
nsIAccessibleDocument,2.761,0.0,0.854,0,0
layout/xul/base/src/grid/nsGridRow,4.107,54.917,3.251,7,6
nsprpub/pr/src/md/os2/os2misc,5.075,28276.758,3.252,2,17
nsIClipboard,2.761,0.0,0.854,0,0
nsprpub/pr/src/io/prsocket,14.716,59756.078,3.252,78,30
js/src/ctypes/libffi/testsuite/libffi.call/cls_multi_ushort,2.761,0.0,3.251,0,4
ipc/chromium/src/base/test_file_util_mac,2.761,0.0,3.251,0,5
content/html/content/src/nsHTMLBRElement,2.761,0.0,3.252,0,22
nsIKeyModule,2.761,0.0,0.854,0,0
gfx/src/nsColorNames,4.607,1.922,3.251,3,1
nsITypeAheadFind,2.761,0.0,0.854,0,0
modules/libmar/verify/cryptox,23.666,0.0,3.251,3,1
gfx/skia/src/animator/SkDisplayType,14.502,127598.76,3.251,45,66
gfx/2d/PathCairo,3.126,6.5,3.251,2,12
xpcom/base/nsAutoRef,12.563,12179.329,3.252,18,2
widget/cocoa/nsScreenCocoa,3.543,15.109,3.251,1,1
mozilla/AutoRestore,2.761,0.0,0.854,0,0
ipc/chromium/src/chrome/common/gtk_util,3.326,0.0,3.251,1,5
winsock2,2.761,0.0,0.854,0,0
dom/workers/WorkerInlines,4.34,0.0,3.251,9,4
security/nss/lib/libpkix/pkix/checker/pkix_revocationmethod,5.783,0.0,3.251,5,6
usr/include/linux/soundcard,2.761,0.0,0.854,0,0
parser/html/nsHtml5Module,3.316,282890.565,3.252,8,27
usr/include/QtCore/qrect,2.761,0.0,0.854,0,0
security/nss/lib/zlib/infback,2.761,0.0,3.251,0,11
netwerk/protocol/http/nsHttpBasicAuth,2.877,0.0,3.252,1,21
widget/qt/nsDragService,3.051,73.353,3.252,3,16
xpcom/string/src/nsDependentString,2.761,0.0,3.251,0,6
modules/freetype2/include/freetype/internal/services/svbdf,2.761,0.0,0.854,0,0
netwerk/wifi/nsWifiScannerSolaris,2.761,0.0,3.252,0,13
cns5,2.761,0.0,0.854,0,0
gfx/skia/include/core/SkMath,52.284,11942.651,3.251,60,7
gfx/skia/src/views/SkBGViewArtist,2.761,0.0,3.251,0,11
media/libogg/src/ogg_framing,3.016,167.88,3.252,2,6
js/src/v8-dtoa/platform,15.979,2688.667,3.251,4,1
