attach_id,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment,page_rank,betweenness,closeness,indegree,outdegree,crash_inducing
8650753,429.0,2.0,14.0,1.0,0.26,1.7,57624.51,1.66,8.0,51.0,False
8650757,649.0,2.0,61.0,2.0,0.21,1.51,2242.84,1.66,0.5,20.0,False
655367,0.0,0.0,0.0,0.0,0.0,2.37,0.0,0.81,0.0,0.0,False
655368,143.0,1.0,6.0,1.0,0.55,11.0,16176.92,3.15,26.0,7.0,False
8650767,2307.0,13.0,42.0,8.0,0.18,1.33,0.0,1.66,0.0,53.0,False
8519698,3849.0,13.0,50.0,5.0,0.07,1.3,0.0,0.49,0.0,0.0,False
655379,3056.0,5.0,81.0,5.0,0.18,5.83,32069.26,3.15,18.0,44.0,False
655380,957.0,1.0,23.0,1.0,0.28,2.37,0.0,0.81,0.0,0.0,False
8519701,1038.0,3.0,54.0,3.0,0.18,224.54,662108.25,1.79,1215.0,18.0,False
8519704,948.0,3.0,35.0,4.0,0.26,1.63,116899.26,1.79,4.0,42.0,False
655391,193.0,1.0,34.0,0.0,0.72,2.37,0.0,0.81,0.0,0.0,False
655394,1135.0,8.0,37.0,5.0,0.23,2.72,0.0,3.15,2.0,8.0,False
8650795,391.5,1.5,23.5,1.0,0.47,3.7,15650.26,1.66,13.5,8.5,False
8650796,14402.0,4.0,628.0,6.0,0.15,10.65,2837108.42,1.66,82.0,178.0,False
8519688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
8650803,2575.5,3.5,109.0,4.0,0.26,3.29,25723.78,1.66,11.5,48.5,False
524362,309.0,9.5,2.5,2.0,0.48,3.63,264.11,3.33,2.5,4.0,False
8628919,109.0,2.0,7.0,2.0,0.17,1.27,0.0,1.67,0.0,13.0,False
524367,807.0,4.0,32.0,4.0,0.28,2.59,0.0,0.91,0.0,0.0,False
8650832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
655446,487.0,2.0,23.0,3.0,0.45,3.11,2189.98,3.15,3.0,17.0,False
524378,107.0,5.0,4.0,2.0,0.18,4.5,0.0,3.33,1.0,2.0,False
524382,887.0,3.0,57.0,4.0,0.23,3.05,25923.62,3.33,4.0,34.5,False
8519780,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.49,0.0,0.0,False
8650856,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.47,0.0,0.0,False
8388716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
786545,44.0,1.0,1.0,0.0,0.53,3.29,0.0,2.15,16.0,0.0,False
655479,597.5,3.5,25.0,4.0,0.28,2.52,29.92,3.15,2.0,26.0,False
8519700,1121.0,4.0,32.0,6.0,0.37,1.49,333.56,1.79,4.0,28.0,False
8585237,3703.0,5.0,108.0,8.0,0.14,19.7,1728634.2,1.73,116.0,79.0,False
524417,1003.0,4.5,32.5,4.5,0.32,7.71,59287.13,3.33,28.5,57.5,False
8607083,1066.0,4.0,36.0,5.0,0.27,1.62,757.12,1.69,2.0,11.0,False
655494,827.0,1.5,37.5,1.5,0.28,2.89,6357.95,3.15,3.0,20.0,False
655495,827.0,1.5,37.5,1.5,0.28,2.89,6357.95,3.15,3.0,20.0,False
655513,3012.0,3.0,152.0,5.0,0.18,3.42,19878.82,3.15,9.0,73.0,False
8585242,812.0,6.5,14.5,3.5,0.11,1.37,844.36,1.73,2.0,47.0,False
8650912,1191.0,4.0,48.0,4.0,0.17,1.63,14488.57,1.66,5.0,46.0,False
8650921,1167.5,1.0,6.0,1.0,0.23,1.33,0.0,0.47,0.0,0.0,False
524472,4588.5,4.0,117.5,6.0,0.25,2.59,0.0,0.91,0.0,0.0,False
524473,2493.5,3.0,82.0,4.0,0.27,2.59,0.0,0.91,0.0,0.0,False
8388794,1543.0,3.0,61.0,3.0,0.15,2.27,5907.58,2.01,4.0,19.0,False
524475,2476.5,3.0,57.0,4.0,0.28,2.59,0.0,0.91,0.0,0.0,False
524477,577.0,6.0,35.0,3.0,0.28,3.98,8599.25,3.33,12.0,49.0,False
786630,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.57,0.0,0.0,False
524488,6312.0,4.0,185.5,4.0,0.11,5.67,219830.87,3.33,39.0,127.0,False
786636,957.5,2.5,33.0,2.0,0.2,1.75,62263.02,2.15,5.0,44.0,False
655567,0.0,0.0,0.0,0.0,0.0,2.37,0.0,0.81,0.0,0.0,False
8519888,1010.0,5.0,55.0,4.0,0.15,5.32,391115.01,1.79,20.0,36.0,False
786650,2691.0,4.0,149.0,5.0,0.11,1.57,0.0,0.57,0.0,0.0,False
524522,2013.0,2.0,39.0,2.0,0.26,28.4,275356.77,3.33,244.0,56.0,False
8388843,976.0,2.0,76.0,3.5,0.11,17.09,981137.05,2.01,59.0,56.0,False
8388844,6202.5,2.5,1396.0,3.5,0.09,24.64,1667366.38,2.01,86.0,56.0,False
655598,1261.0,5.0,48.0,4.0,0.12,2.47,184.52,3.15,2.0,37.0,False
8650993,1282.0,4.0,62.0,7.0,0.09,1.36,0.0,1.66,1.0,39.0,False
8651003,658.0,0.5,25.5,0.5,0.9,4.24,15859.25,1.66,39.0,6.5,False
8519939,2930.0,2.0,197.0,4.0,0.2,5.78,1619663.21,1.79,30.0,80.0,False
8519941,2930.0,2.0,197.0,4.0,0.2,5.78,1619663.21,1.79,30.0,80.0,False
8519942,1760.0,2.5,115.0,3.5,0.12,4.07,813855.07,1.79,21.0,51.0,False
8519951,37.0,1.0,2.0,0.0,0.88,1.45,1.51,1.79,2.0,1.0,False
8519959,867.0,3.0,66.0,5.0,0.1,1.53,335.88,1.79,6.0,31.0,False
8519960,207.0,0.0,0.0,0.0,1.81,6.45,15555.28,1.79,33.0,6.0,False
8519961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
8388893,1277.0,3.5,56.0,6.5,0.31,2.46,6624.61,2.01,13.0,49.5,False
524574,7493.0,4.0,254.0,7.0,0.22,3.2,51455.57,3.33,11.0,105.0,False
8388904,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.54,0.0,0.0,False
655657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
786740,3778.0,3.0,213.0,4.0,0.13,1.76,932094.76,2.15,1.0,85.0,False
655674,0.0,0.0,0.0,0.0,0.0,2.37,0.0,0.81,0.0,0.0,False
655675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
786761,452.5,2.0,19.0,2.0,0.45,2.03,3380.0,2.15,5.5,28.5,False
786762,424.5,1.5,22.0,1.5,0.16,1.75,1078.65,2.15,2.0,27.0,True
786763,413.5,2.5,26.0,2.5,0.04,1.7,415.42,1.36,1.0,12.0,False
8651093,8103.0,9.0,196.0,7.0,0.28,2.6,19958.19,1.66,8.0,47.0,False
655708,4576.0,3.0,144.0,5.0,0.23,46.03,74757.32,3.15,75.0,54.0,False
