commit_id,author_exprience,from_mozilla,messages,changed_files,churn,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment,page_rank,betweenness,closeness,indegree,outdegree,reviewed,crashed
35fec83dd2c5,85,False,8,2,153,10681.0,5.5,238.5,8.5,0.28,6.91,573492.49,3.33,33.0,161.0,False,False
3e80559aea9e,58,False,24,1,4,547.0,4.0,21.0,3.0,0.13,2.59,0.0,3.33,0.0,4.0,False,False
e9f33e85a979,11,False,20,2,6,466.0,6.0,12.5,4.0,0.27,3.04,2149.25,3.33,4.5,24.5,False,False
1db0ecd97b22,91,False,4,1,3,11936.0,6.0,216.0,8.0,0.33,7.56,976204.86,3.33,38.0,174.0,False,False
875064f87aad,45,True,3,1,8,0.0,0.0,0.0,0.0,0.0,2.59,0.0,0.91,0.0,0.0,False,False
31f62812961b,46,True,21,1,8,0.0,0.0,0.0,0.0,0.0,2.59,0.0,0.91,0.0,0.0,False,False
cf7c0f378068,154,False,12,1,41,1860.0,0.0,0.0,0.0,0.0,2.91,0.0,3.33,6.0,0.0,False,False
185144a15419,47,True,3,1,16,0.0,0.0,0.0,0.0,0.0,2.59,0.0,0.91,0.0,0.0,False,False
01f4b785c886,48,True,27,1,16,0.0,0.0,0.0,0.0,0.0,2.59,0.0,0.91,0.0,0.0,False,False
4cb4dc394060,23,False,7,6,68,413.5,1.5,12.5,2.5,0.8,3.6,51.48,3.33,13.5,30.0,False,False
e1f8b9ef39a1,142,True,30,3,212,9741.5,2.0,339.0,3.5,4.62,2.59,0.0,0.91,0.0,0.0,False,False
3862a7e48e79,316,True,7,7,184,5046.5,6.5,102.5,6.5,0.3,2.59,0.0,0.91,0.0,0.0,False,False
c4ca7968793d,143,True,18,1,10,17588.0,3.0,677.0,7.0,0.23,2.59,0.0,0.91,0.0,0.0,False,False
ede43014b6c4,243,False,14,1,78,7040.0,6.0,169.0,8.0,0.24,2.59,0.0,0.91,0.0,0.0,False,False
04d6f128da25,216,False,6,3,36,2288.0,3.0,66.0,3.0,0.15,4.69,10379.76,3.33,10.0,48.0,False,False
6e0620377c26,211,False,11,1,53,3004.0,9.0,60.0,6.0,0.15,4.0,6565.36,3.33,6.0,52.0,False,False
a59a5f030021,212,False,22,1,100,302.0,12.0,7.0,3.0,0.56,2.97,720.65,3.33,4.0,23.0,False,False
5a63989cada8,217,False,12,1,2,3469.0,3.0,66.0,4.0,0.15,4.69,10379.76,3.33,10.0,48.0,False,False
1f0c4d73acda,317,True,8,1,35,5829.0,5.0,130.0,6.0,0.07,2.88,203487.86,3.33,1.0,53.0,False,False
e0b4bf47c653,245,False,44,2,76,3841.5,3.5,222.0,4.0,0.13,47.03,351464.41,2.12,137.0,35.0,False,False
ce80437ab5bb,969,False,14,1,4,3255.0,14.0,24.0,6.0,0.26,5.63,75751.58,3.33,3.0,3.0,False,False
f986bfa5844a,41,True,9,1,3,122.0,0.0,0.0,0.0,3.48,2.59,0.0,0.91,0.0,0.0,False,False
f88d2f4cedc1,166,True,11,1,13,2443.0,1.0,187.0,1.0,0.43,8.96,0.0,3.33,11.0,1.0,False,False
26968ecd7e6c,24,False,8,12,330,470.0,3.0,11.5,4.0,0.54,2.71,1.07,3.33,1.5,34.5,False,False
908f0fa9cc06,470,False,4,2,32,913.0,1.5,35.5,2.0,0.86,3.38,2902.12,3.33,4.5,22.0,False,False
ee9b5d13cbaf,204,True,5,7,184,5046.5,6.5,102.5,6.5,0.3,2.59,0.0,0.91,0.0,0.0,False,False
512c359fa6b9,63,True,11,1,4,9293.0,7.0,198.0,7.0,0.33,2.59,0.0,0.91,0.0,0.0,False,False
9d51f2a931f7,431,False,11,2,13,2416.5,3.5,62.0,3.0,1.28,3.27,94746.32,3.33,7.0,74.5,False,False
e8a2b8c6c912,23,False,9,1,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
2ed8973352a8,167,True,3,8,162,2549.0,0.0,0.0,0.0,0.08,2.59,0.0,3.33,0.0,5.0,False,False
8c77f0e9037d,59,False,12,2,10,265.5,0.0,0.0,0.0,0.0,2.59,0.0,0.91,0.0,0.0,False,False
97612cf8b581,137,False,7,1,3,122.0,0.0,0.0,0.0,3.48,2.59,0.0,0.91,0.0,0.0,False,False
